model,n,low_cutoff,accuracy,balanced_accuracy,precision_low,recall_low,f1_low,macro_f1,specificity,roc_auc,average_precision,brier,log_loss,true_low_count,predicted_low_count,false_positives,false_negatives
Logistic feasibility — held-out actual productivity,240,0.85,0.9916666666666667,0.9943181818181819,1.0,0.9886363636363636,0.9942857142857143,0.9894505494505494,1.0,1.0,1.0000000000000004,0.012656707204752224,0.06013091612035457,176,174,0,2
Same logistic model on Bayesian baseline,192,0.85,0.8020833333333334,0.5585004359197907,0.8268156424581006,0.9548387096774194,0.8862275449101796,0.5631137724550899,0.16216216216216217,0.48003487358326064,0.8211989703574655,0.19254886649696754,2.0206691838049533,155,179,31,7
Same logistic model on fused Bayesian + Kalman prediction,192,0.85,0.7083333333333334,0.6238884045335658,0.8613138686131386,0.7612903225806451,0.8082191780821918,0.5997617629541394,0.4864864864864865,0.7602441150828247,0.934612251091745,0.19699919553537684,0.8076390621034376,155,137,19,37
