model,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,macro_roc_auc_ovr
Logistic feasibility — held-out actual productivity,240,0.9916666666666667,0.9829545454545454,0.9848484848484849,0.9829545454545454,0.9835464564146735,0.12811682568331428,1.0
Same logistic model on Bayesian baseline,192,0.7864583333333334,0.34952956989247314,0.47560521415270013,0.34952956989247314,0.3494632356907806,2.351167366815479,0.46218164736643447
Same logistic model on fused Bayesian + Kalman prediction,192,0.6979166666666666,0.4684139784946236,0.42683355292050945,0.4684139784946236,0.43801369179490246,1.0026492303980794,0.7341334271755583
