,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
C_prior_weak_2x,0,564.0885808767374,28.057244664443147,0.0,0.9466466294763923,30.556887563188663,0.0,False,log
C_prior_default_1x,1,562.9477087083153,26.841727228591026,1.1408721684220775,0.0,29.64446391747205,1.765484466425589,False,log
C_prior_strong_0.5x,2,551.254140617863,26.264310721098127,12.834440258874526,0.05335337052360767,27.609969499588455,5.287840690606033,False,log
