group,incentive,y_cf,y_base_model,uplift
0,0.0,-0.17324718376639078,-0.17324718376639078,0.0
0,5.0,-0.12597955938733366,-0.17324718376639078,0.04726762437905713
0,10.0,-0.1099893553572117,-0.17324718376639078,0.06325782840917908
0,15.0,-0.10010473103700636,-0.17324718376639078,0.07314245272938442
0,20.0,-0.09293096639937902,-0.17324718376639078,0.08031621736701176
0,25.0,-0.08729676129352681,-0.17324718376639078,0.08595042247286397
0,30.0,-0.0826566664052501,-0.17324718376639078,0.09059051736114068
0,35.0,-0.07871193500827653,-0.17324718376639078,0.09453524875811425
0,40.0,-0.07528106020564154,-0.17324718376639078,0.09796612356074924
0,45.0,-0.07224546644920922,-0.17324718376639078,0.10100171731718156
0,50.0,-0.06952340815736269,-0.17324718376639078,0.1037237756090281
0,55.0,-0.06705613804905171,-0.17324718376639078,0.10619104571733907
0,60.0,-0.06480001492561861,-0.17324718376639078,0.10844716884077217
0,65.0,-0.06272173097815457,-0.17324718376639078,0.11052545278823621
0,70.0,-0.06079528676988097,-0.17324718376639078,0.11245189699650981
0,75.0,-0.05899999806422383,-0.17324718376639078,0.11424718570216695
0,80.0,-0.05731913897954667,-0.17324718376639078,0.11592804478684411
0,85.0,-0.05573899225456394,-0.17324718376639078,0.11750819151182684
0,90.0,-0.054248168305572164,-0.17324718376639078,0.11899901546081862
0,95.0,-0.052837106657949225,-0.17324718376639078,0.12041007710844157
0,100.0,-0.05149770410653635,-0.17324718376639078,0.12174947965985444
0,105.0,-0.05022303281265394,-0.17324718376639078,0.12302415095373684
0,110.0,-0.049007123434317755,-0.17324718376639078,0.12424006033207302
0,115.0,-0.04784479607760699,-0.17324718376639078,0.12540238768878378
0,120.0,-0.0467315269480326,-0.17324718376639078,0.1265156568183582
0,125.0,-0.04566334202032187,-0.17324718376639078,0.1275838417460689
0,130.0,-0.04463673141246128,-0.17324718376639078,0.1286104523539295
0,135.0,-0.0436485798070354,-0.17324718376639078,0.12959860395935538
0,140.0,-0.042696109440930434,-0.17324718376639078,0.13055107432546034
0,145.0,-0.04177683303377857,-0.17324718376639078,0.1314703507326122
0,150.0,-0.04088851464583159,-0.17324718376639078,0.13235866912055919
0,155.0,-0.04002913691446968,-0.17324718376639078,0.1332180468519211
0,160.0,-0.039196873461254576,-0.17324718376639078,0.1340503103051362
0,165.0,-0.03839006552023113,-0.17324718376639078,0.13485711824615965
