alpha,validation_MAE,validation_RMSE
0.01,0.11233383034589305,0.15912693286546864
0.1,0.11233935462640432,0.15913821539133746
1.0,0.11239308917128107,0.15924899946587606
10.0,0.11282375974799067,0.16018310906580918
100.0,0.11422193211249322,0.16331544327474726
