day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
0,0,0.6863792390582615,0.21017318256838793,0.4038003808134949,0.3851770577746967,-0.047874639957167904,-0.3002082653800528,0.02972750086138876,10__0
1,0,0.7643268721684388,0.20805918982293053,0.3998273165863575,0.3814910838199944,-0.04784564784473648,-0.3001991316608489,0.02974110040960825,10__0
2,0,0.8073633608460473,0.206787326595594,0.3963694037554042,0.38212578471066205,-0.047723210628520134,-0.3010163969121324,0.029720476328182435,10__0
3,0,0.8750916239895599,0.2052407223186571,0.39256864341097336,0.3789302901300053,-0.0476914338444379,-0.30172657892879506,0.029732864698758195,10__0
4,0,0.9626809923835495,0.2029731900871454,0.38830838658442773,0.37420505653218394,-0.047624925133206056,-0.301614807651433,0.029757582172859093,10__0
5,0,1.034182284313196,0.2011255747227266,0.3848236323285009,0.37034662249768774,-0.04757092334049307,-0.30152669632276197,0.029777561870871026,10__0
6,0,1.0868690273033088,0.19976687379196725,0.382250236768801,0.36750258994752055,-0.04753136407510402,-0.3014642748378576,0.0297921259563099,10__0
7,0,1.1603842037030108,0.19787516673397645,0.37865107853150226,0.36353289775037695,-0.047476516150956896,-0.30138094481554684,0.02981220952357967,10__0
8,0,1.2161474764663578,0.19644360756669746,0.3759141627280118,0.36052068822828137,-0.047435197163520716,-0.3013208003080943,0.029827249902990734,10__0
9,0,1.1152934078833598,0.19902627661711259,0.380877399181056,0.36597070420943395,-0.047509378206055206,-0.30142367062858194,0.02980042095173843,10__0
10,0,1.1814022853484836,0.19685844639721967,0.3736491992241991,0.371110318392601,-0.04717581253218427,-0.3038072082201995,0.029722516375218132,10__0
11,0,1.1140329537619313,0.19856821802074842,0.37672922603109066,0.3752888907373635,-0.047182316228006685,-0.30402636545697925,0.029700923161444535,10__0
12,0,1.209036156028607,0.1953765367489687,0.3664203440996637,0.38256370024819686,-0.04681019137988742,-0.3073902512593018,0.02958282384934414,10__0
13,0,1.3458448198389343,0.19203834372486134,0.3605469770637108,0.3730756376603557,-0.04677013403680568,-0.30670738136092063,0.02964035377761663,10__0
14,0,1.2624947211255917,0.19406546735086497,0.3641413005719204,0.3788542920013389,-0.0467940663944762,-0.30711594963289623,0.029605749391060227,10__0
15,0,1.2414403757384906,0.19457576553207154,0.36505345211331414,0.380313484526204,-0.04679998711874271,-0.3072171846481098,0.029597125793942722,10__0
16,0,1.3156302701451292,0.19257591389318063,0.3580527001024357,0.38326384144064596,-0.04626292342808643,-0.3092140343131767,0.02955552811060112,10__0
17,0,1.387537323828283,0.19065287359934588,0.3536163415286063,0.3811769606312629,-0.046185553572412726,-0.30967594769634516,0.029550316686436127,10__0
18,0,1.453373611230374,0.18835265449063202,0.3456086126794497,0.388050222612291,-0.045896640833599005,-0.3125259357443715,0.02944536730962476,10__0
19,0,1.6150467722811666,0.1825112812034654,0.3244063327571341,0.40831857154316487,-0.04510336066337281,-0.3204658398235084,0.029148534205845733,10__0
20,0,1.7039087923556342,0.1798662857134458,0.3178096295605486,0.4082654816135898,-0.04509620871382757,-0.3217018849476245,0.029102320726906758,10__0
21,0,1.7176295312908763,0.17949566854946794,0.3170491031038156,0.4076733300662734,-0.04510971309915402,-0.32173338088457404,0.029101732222558446,10__0
22,0,1.725990156568498,0.17927084032727242,0.31658396599318706,0.40731224795224424,-0.04511797428914329,-0.32175331962822035,0.029101330128600222,10__0
23,0,1.7880800937021437,0.17760882644348444,0.31311654011905843,0.4046287041000828,-0.04517957304391236,-0.3219070949650215,0.029098012036322278,10__0
24,0,1.8050414365707095,0.17715695708760734,0.3121656579933351,0.40389507569339084,-0.045196469531630444,-0.321950700600954,0.029097012556577234,10__0
25,0,1.8131871972929057,0.1769410027325882,0.31170718500387995,0.4035424743896927,-0.04520461826798853,-0.32197242910138985,0.029096486743431803,10__0
26,0,1.808446664778406,0.17704819817411233,0.31184650673362824,0.4040373337657701,-0.04519260528521596,-0.32203847257675167,0.02909355786208282,10__0
27,0,1.8439356555378374,0.17624985714103486,0.3107902393780615,0.4003403965733764,-0.04528250689319392,-0.32155072447715377,0.029115147999097417,10__0
28,1,1.8242284094903733,0.17669082197301483,0.3113843210497606,0.4023889436864325,-0.045232601619590834,-0.3218177860983224,0.0291033497864899,10__0
29,1,1.8139026744615627,0.1769270067088088,0.3120229573385559,0.4027686229557126,-0.04526352532006162,-0.32175359602007314,0.029102524249129885,10__0
30,1,1.7702936559510873,0.17789120127159302,0.3133300931272417,0.40737117475023094,-0.04514579035641493,-0.322353424370353,0.029076608062444304,10__0
31,1,1.8042385873603028,0.1765621477074908,0.30810461053745214,0.41329064948375666,-0.04499850882291152,-0.32447596826020475,0.028990034580069844,10__0
