label,test_mae,test_rmse,test_r2
C_mean_impute,0.09621971860386667,0.1332351622185761,0.3851459126675959
C_zero_impute,0.09503133148648907,0.13015758413826622,0.41322268918073535
D_latent_wip,0.0950982486169718,0.13377420484925404,0.38016069684484666
