,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Model_C_final_monotone,0,569.6554811388961,38.980121707626154,0.0,0.9309954834455353,30.308725789900564,0.0,False,log
Model_B_hierarchical,1,471.432163455592,32.644733210756726,98.22331768330415,0.0,24.413477434901687,14.946426453802378,False,log
Model_A_baseline,2,441.97699242209313,9.730148499103336,127.67848871680295,0.06900451655446471,21.868117882725965,18.846144799171082,False,log
