dlm_weight,validation_MAE,validation_RMSE
0.0,0.12919517457079552,0.17463308344180922
0.05,0.1267997632236814,0.17144271734173766
0.1,0.12451416176677195,0.16845616693731907
0.15000000000000002,0.12233559706987146,0.16568445425409933
0.2,0.12022840661497056,0.16313852989503558
0.25,0.11819737999468055,0.16082911690274862
0.30000000000000004,0.11639459751651865,0.1587665364731889
0.35000000000000003,0.11486395966781524,0.1569605196099858
0.4,0.11366333026686544,0.1554200105563982
0.45,0.11259554428923639,0.15415296947848586
0.5,0.11158030139480646,0.1531661831779095
0.55,0.11074017350254593,0.15246509335619332
0.6000000000000001,0.1102290219640345,0.15205365193742115
0.65,0.10987357626356185,0.15193421206387317
0.7000000000000001,0.10960030634094552,0.15210746160528554
0.75,0.10942100566654639,0.1525724034978368
0.8,0.1094470661468945,0.15332638420956748
0.8500000000000001,0.10980066076120076,0.15436516845785825
0.9,0.110423942688705,0.15568305535232752
0.9500000000000001,0.11123460827728499,0.1572730287341688
1.0,0.11233383034589305,0.15912693286546864
