Metric,Bayesian Model C,Paper benchmark,Note,Gap (pp)
3-class Accuracy,0.6833333333333333,0.8389,"Paper: tree ensemble, their random split, SMOTE-balanced classes",-15.556666666666663
2-class Accuracy,0.8333333333333334,0.8639,"Paper: GBT + SMOTE, low vs not-low",-3.056666666666663
