split,N,Final_MAE,Final_RMSE,RawDLM_RMSE,GroupMean_RMSE,LastValue_RMSE,StaticRidge_RMSE,Skill_vs_GroupMean_pct,Skill_vs_StaticRidge_pct,Coverage80,Coverage95,AUC,AP,Brier
train,823,0.08884058501928598,0.13985776432052796,0.14992451931579193,0.15948389728439477,0.18122430576757131,0.14357692961128501,12.306027942663773,2.59036413498059,0.8554070473876063,0.9671931956257594,0.8685642501830668,0.8185589960198174,0.1435627176282409
validation,182,0.10987357626356185,0.15193421206387317,0.15912693286546864,0.20416641906297311,0.18875607468650002,0.17463308344180922,25.583152821517352,12.998036185680538,0.7967032967032966,0.945054945054945,0.7899659863945578,0.8256529813332837,0.18592106597199423
test,192,0.08597415057320175,0.13160751262638357,0.145365176458413,0.1619858833047519,0.16833631801681034,0.13299183327978056,18.753714866138072,1.0409065122703764,0.8854166666666666,0.9791666666666666,0.8717105263157894,0.8150082427640531,0.15179290923968985
