coefficient,feature,posterior_mean,hdi_3%,hdi_97%,abs_effect
b_wip,log_wip_imputed,0.4583018948702457,0.20015339879276703,0.7159650344788804,0.4583018948702457
b_nw,log_workers,0.38995628192839477,0.17110771682928055,0.6076146324342434,0.38995628192839477
b_smv,log_smv,-0.30007430880175845,-0.4445875016528531,-0.15599135442353468,0.30007430880175845
b_tp,targeted_productivity,0.2546200980498163,0.212350139552216,0.2955301114352443,0.2546200980498163
b_ot,log_over_time,-0.047917870845374806,-0.08692727476134972,-0.01076650714462215,0.047917870845374806
b_cos,cos_dow,-0.03274262246720213,-0.06521974565372213,7.413331912735803e-05,0.03274262246720213
b_style,no_of_style_change,0.029710112544038745,-0.0009338563431635955,0.060769968808177414,0.029710112544038745
b_sin,sin_dow,-0.004665614219761602,-0.03700765991227016,0.02798187252121528,0.004665614219761602
