team_dept_idx,n_train,q_raw,r_raw,q,r,shrink_weight,ll_decreases
0,36,0.012727932231647185,0.01007789557100005,0.009276416992831894,0.009314791442300538,0.5454545454545454,38
1,28,0.018901745893385228,0.02448397875174391,0.010748368758573474,0.014143785319364739,0.4827586206896552,38
2,21,0.02,0.04848871155192088,0.01018106076160178,0.017380021465814986,0.4117647058823529,1
3,24,0.0019397341752155344,0.028287486430410513,0.0037474327534199386,0.014480539939582558,0.4444444444444444,0
4,34,0.02,0.015254811093069443,0.011677685859370188,0.011581081923111242,0.53125,22
5,20,0.02,0.013497453879550595,0.010044499235391455,0.01020899485636865,0.4,4
6,34,0.02,0.014889478767418526,0.011677685859370188,0.01143290210487007,0.53125,6
7,24,0.02,0.011908815883517837,0.010570218673145254,0.009858152252656738,0.4444444444444444,25
8,23,0.02,0.03016335280777195,0.010443800693178424,0.014702762118707215,0.4339622641509434,4
9,30,0.02,0.018442151703075064,0.011266228993557297,0.012501851382406406,0.5,10
10,36,0.007575563926679523,0.016765468853101505,0.006989819497195402,0.012295426522141082,0.5454545454545454,39
11,31,0.02,0.011318926535484726,0.011372728284871587,0.009817507106610952,0.5081967213114754,3
12,40,0.0015790038247471229,0.0033668210840594936,0.002866170532752402,0.005000824628825272,0.5714285714285714,33
13,39,0.00511722764684758,0.0008627742188699219,0.005619318053089765,0.0023297312094918907,0.5652173913043478,0
14,41,0.00029836582194674903,0.0047231186958718915,0.001085880575545969,0.006046638717655751,0.5774647887323944,0
15,41,0.0004174133456188634,4.873901715050043e-05,0.0013182154462842834,0.00043098844731190024,0.5774647887323944,0
16,40,0.004727808799215311,0.006872001654031038,0.005363646582431925,0.00751806922497115,0.5714285714285714,20
17,40,0.001852171830893261,0.0033508515371452247,0.0031397924217577908,0.0049872565510240855,0.5714285714285714,26
18,41,0.0017738576089376956,0.003223421997037722,0.003039749505732846,0.004849599328740902,0.5774647887323944,0
19,40,0.0017783723924861556,0.006422403062059838,0.0030676819226833955,0.007232933849357247,0.5714285714285714,37
20,41,6.515459650094358e-05,0.0019459447378475084,0.0004510150295965195,0.0036235418298666056,0.5774647887323944,0
21,39,0.013274691031823849,0.0021593586422958624,0.009631141934097549,0.003912947649459451,0.5652173913043478,32
22,40,0.0031678334832120516,0.006561376997686731,0.004266680468376084,0.007321959334820439,0.5714285714285714,30
23,40,0.0034146557726260243,0.002182688105633996,0.004453586403408392,0.003903755094309349,0.5714285714285714,11
