feature,anova_f_score_train,anova_p_value_train,rank,selected
348,21.819884693477242,3.3667931736197327e-06,1,True
21,20.072467561067242,8.239501474662707e-06,2,True
59,18.61657522894441,1.7428107966453106e-05,3,True
210,14.924939084462157,0.00011844504438566444,4,True
103,13.660277060640217,0.00022989075290015797,5,True
431,12.337268927139789,0.00046212172613150065,6,True
430,12.274206575880982,0.00047782098360625276,7,True
434,11.6204475115043,0.000676077351732859,8,True
298,11.558461490846453,0.0006987459076864555,9,True
316,11.45756167572908,0.0007373027961491772,10,True
510,11.289815598613606,0.0008062317762837452,11,True
163,11.015614613699475,0.000933251134480633,12,True
435,10.820040489280665,0.0010360715561826843,13,True
22,10.488576787213336,0.001237264955026347,14,True
436,10.275750429799496,0.0013869092011038655,15,True
64,9.983483871494588,0.0016228278452329685,16,True
310,9.1395969912128,0.0025596262287846936,17,True
175,8.620184456739395,0.003394128685866976,18,True
114,8.531965301679659,0.00356126415194859,19,True
117,8.409256012766457,0.003807786808800987,20,True
446,8.370705202495813,0.0038887714683884774,21,True
249,8.3032940891677,0.004034626609847102,22,True
387,8.2622891071692,0.004126063201829207,23,True
437,8.059609555223465,0.004610038740094855,24,True
180,7.522916851467697,0.006191365307448264,25,True
299,7.5058334126233675,0.006249953157155597,26,True
294,7.404505306673578,0.006609304856520682,27,True
31,7.3595877627839705,0.006775295324576661,28,True
33,7.240895265020005,0.007234751101980035,29,True
164,7.2113905206362325,0.007353833505468917,30,True
300,7.0387789814029516,0.008091872227176897,31,True
127,6.992524785477087,0.00830224392164549,32,True
295,6.909555717569751,0.008693755190487443,33,True
159,6.8287507229527895,0.009093261505503698,34,True
452,6.756236505748272,0.009467799795919371,35,True
165,6.7214108382608,0.009653265514255391,36,True
471,6.712333104520818,0.009702219175442893,37,True
337,6.651601197624491,0.01003635142126401,38,True
122,6.449097258509054,0.011238394903675727,39,True
166,6.4226319067190785,0.011406074472272577,40,True
301,6.40823563721112,0.01149836442801762,41,True
102,6.392976417342819,0.011597024949208062,42,True
58,6.294859019067183,0.012252561866744768,43,True
281,6.197741576844876,0.012939013826390917,44,True
160,6.1591218556216205,0.01322287905034469,45,True
26,5.9781400101774285,0.01464115937051033,46,True
475,5.947398140028137,0.014897230014008151,47,True
56,5.812681824885415,0.016075047474505975,48,True
247,5.788813061591094,0.016293554537284604,49,True
255,5.702344609947994,0.017111154310704806,50,True
527,5.554198696493611,0.01861191436582526,51,True
65,5.528977640958514,0.018880672025020535,52,True
519,5.433932423866965,0.01993010953770001,53,True
28,5.432646998816299,0.019944709327721532,54,True
203,5.229521452083645,0.022396978747382584,55,True
433,5.1395769294886575,0.0235808558787156,56,True
121,5.106591916932098,0.024031141012308244,57,True
146,4.82122441768849,0.0283207588710141,58,True
582,4.7976511255000265,0.02870905941000723,59,True
278,4.727681475246493,0.029894640330573208,60,True
200,4.682013881895107,0.030695902862726505,61,True
575,4.601931534708551,0.03215560142383211,62,True
573,4.60170885262755,0.03215975998428121,63,True
484,4.589589147859758,0.03238694406543451,64,True
14,4.589069938444977,0.03239671405145063,65,True
488,4.561569160140315,0.032918626878011656,66,True
75,4.486706399652764,0.03438442592072325,67,True
196,4.341507002196883,0.03742566099749535,68,True
393,4.2560095269259675,0.03934724926668972,69,True
70,4.222218505919382,0.04013503871409135,70,True
521,4.151691112280959,0.04183319136252046,71,True
511,4.141687167301206,0.04208011957644819,72,True
143,4.132696288023808,0.04230335124009956,73,True
32,4.0910958446317744,0.043352586756817114,74,True
133,4.057053024033743,0.04423159434900165,75,True
181,4.024482299878648,0.04509018998112432,76,True
199,3.937029095214199,0.04748368316247775,77,True
453,3.901962329039434,0.048480780700546434,78,True
339,3.826036184157675,0.05071632999224127,79,True
416,3.812544489975809,0.05112486246668506,80,True
197,3.805867772533313,0.05132832304064618,81,True
66,3.722044046520983,0.05395698740090631,82,True
124,3.682516853601355,0.05524573599808643,83,True
270,3.6329139707316918,0.05690941548378295,84,True
557,3.517819263017396,0.06097843289616853,85,True
123,3.504627699880428,0.061464226618795754,86,True
577,3.5010301712085,0.06159742441659071,87,True
